nohup: ignoring input
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/14 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/14 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/14 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/14 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/15 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/15 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/15 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/15 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/16 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/16 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/16 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/16 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/17 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/17 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/17 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/17 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/18 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/18 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/18 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/18 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/19 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/19 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/19 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/19 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/2 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/2 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/2 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/2 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/20 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/20 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/20 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/20 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/21 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/21 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/21 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/21 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/22 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/22 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/22 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/22 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/23 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/23 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/23 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/23 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/24 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/24 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/24 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/24 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/25 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/25 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/25 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/25 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/26 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/26 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/26 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/26 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/27 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/27 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/27 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/27 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/28 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/28 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/28 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/28 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/29 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/29 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/29 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/29 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/3 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/3 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/3 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/3 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/30 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/30 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/30 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/30 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/4 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/4 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/4 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/4 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/5 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/5 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/5 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/5 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/6 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/6 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/6 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/6 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/7 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/7 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/7 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/7 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/8 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/8 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/8 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/8 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/9 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/9 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/9 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.01/9 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/1 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/1 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/1 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/1 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/10 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/10 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/10 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/10 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/11 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/11 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/11 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/11 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/12 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/12 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/12 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/12 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/13 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/13 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/13 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/13 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/14 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/14 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/14 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/14 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/15 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/15 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/15 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/15 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/16 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/16 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/16 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/16 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/17 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/17 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/17 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/17 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/18 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/18 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/18 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/18 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/19 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/19 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/19 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/19 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/2 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/2 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/2 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/2 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/20 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/20 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/20 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/20 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/21 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/21 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/21 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/21 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/22 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/22 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/22 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/22 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/23 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/23 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/23 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/23 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/24 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/24 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/24 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/24 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/25 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/25 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/25 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/25 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/26 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/26 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/26 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/26 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/27 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/27 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/27 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/27 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/28 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/28 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/28 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/28 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/29 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/29 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/29 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/29 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/3 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/3 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/3 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/3 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/30 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/30 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/30 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/30 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/4 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/4 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/4 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/4 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/5 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/5 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/5 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/5 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/6 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/6 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/6 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/6 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/7 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/7 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/7 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/7 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/8 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/8 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/8 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/8 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/9 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/9 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/9 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.05/9 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/1 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/1 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/1 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/1 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/10 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/10 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/10 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/10 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/11 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/11 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/11 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/11 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/12 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/12 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/12 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/12 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/13 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/13 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/13 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/13 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/14 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/14 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/14 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/14 276 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/15 201 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/15 226 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/15 251 25 finished
/scratch/GW/pool0/khui/result/2stagelowcost/comparativestd/statAP/qrels/0.1/15 276 25 finished
